Country,Subject Descriptor,Units,Scale,Expense
Indonesia,General government total expenditure,Percent of GDP,,16.565
Islamic Republic of Iran,General government total expenditure,Percent of GDP,,19.349
Iraq,General government total expenditure,Percent of GDP,,34.649
Ireland,General government total expenditure,Percent of GDP,,26.063
Israel,General government total expenditure,Percent of GDP,,38.761
Italy,General government total expenditure,Percent of GDP,,48.912
Jamaica,General government total expenditure,Percent of GDP,,28.597
Japan,General government total expenditure,Percent of GDP,,37.417
Jordan,General government total expenditure,Percent of GDP,,29.353
Kazakhstan,General government total expenditure,Percent of GDP,,24.667
Kenya,General government total expenditure,Percent of GDP,,26.133
Kiribati,General government total expenditure,Percent of GDP,,110.748
Korea,General government total expenditure,Percent of GDP,,19.638
Kosovo,General government total expenditure,Percent of GDP,,27.578
Kuwait,General government total expenditure,Percent of GDP,,51.88
Kyrgyz Republic,General government total expenditure,Percent of GDP,,38.31
Lao P.D.R.,General government total expenditure,Percent of GDP,,21.555
Latvia,General government total expenditure,Percent of GDP,,36.423
Lebanon,General government total expenditure,Percent of GDP,,30.362
Lesotho,General government total expenditure,Percent of GDP,,46.306
Liberia,General government total expenditure,Percent of GDP,,33.364
Libya,General government total expenditure,Percent of GDP,,94.788
Lithuania,General government total expenditure,Percent of GDP,,32.304
Luxembourg,General government total expenditure,Percent of GDP,,42.974
Macao SAR,General government total expenditure,Percent of GDP,,18.582
Madagascar,General government total expenditure,Percent of GDP,,17.175
Malawi,General government total expenditure,Percent of GDP,,32.567
Malaysia,General government total expenditure,Percent of GDP,,21.578
Maldives,General government total expenditure,Percent of GDP,,30.094
Mali,General government total expenditure,Percent of GDP,,22.906
Malta,General government total expenditure,Percent of GDP,,35.763
Marshall Islands,General government total expenditure,Percent of GDP,,65.53
Mauritania,General government total expenditure,Percent of GDP,,28.132
Mauritius,General government total expenditure,Percent of GDP,,23.931
Mexico,General government total expenditure,Percent of GDP,,25.749
Micronesia,General government total expenditure,Percent of GDP,,64.397
Moldova,General government total expenditure,Percent of GDP,,30.648
Mongolia,General government total expenditure,Percent of GDP,,32.332
Montenegro,General government total expenditure,Percent of GDP,,47.196
Morocco,General government total expenditure,Percent of GDP,,30.05
Mozambique,General government total expenditure,Percent of GDP,,31.379
Myanmar,General government total expenditure,Percent of GDP,,20.887
Namibia,General government total expenditure,Percent of GDP,,35.619
Nauru,General government total expenditure,Percent of GDP,,100.46
Nepal,General government total expenditure,Percent of GDP,,27.193
Netherlands,General government total expenditure,Percent of GDP,,42.445
New Zealand,General government total expenditure,Percent of GDP,,36.172
Nicaragua,General government total expenditure,Percent of GDP,,26.934
Niger,General government total expenditure,Percent of GDP,,26.808
Nigeria,General government total expenditure,Percent of GDP,,12.008
North Macedonia,General government total expenditure,Percent of GDP,,31.841
Norway,General government total expenditure,Percent of GDP,,49.408
Oman,General government total expenditure,Percent of GDP,,45.773
Pakistan,General government total expenditure,Percent of GDP,,21.303
Palau,General government total expenditure,Percent of GDP,,35.335
Panama,General government total expenditure,Percent of GDP,,21.839
Papua New Guinea,General government total expenditure,Percent of GDP,,18.705
Paraguay,General government total expenditure,Percent of GDP,,19.465
Peru,General government total expenditure,Percent of GDP,,21.236
Philippines,General government total expenditure,Percent of GDP,,19.965
Poland,General government total expenditure,Percent of GDP,,41.23
Portugal,General government total expenditure,Percent of GDP,,45.357
Puerto Rico,General government total expenditure,Percent of GDP,,21.794
Qatar,General government total expenditure,Percent of GDP,,33.453
Romania,General government total expenditure,Percent of GDP,,30.834
Russia,General government total expenditure,Percent of GDP,,34.733
Rwanda,General government total expenditure,Percent of GDP,,25.402
Samoa,General government total expenditure,Percent of GDP,,35.303
San Marino,General government total expenditure,Percent of GDP,,25.699
São Tomé and Príncipe,General government total expenditure,Percent of GDP,,27.632
Saudi Arabia,General government total expenditure,Percent of GDP,,33.305
Senegal,General government total expenditure,Percent of GDP,,22.036
Serbia,General government total expenditure,Percent of GDP,,40.135
Seychelles,General government total expenditure,Percent of GDP,,35.944
Sierra Leone,General government total expenditure,Percent of GDP,,23.429
Singapore,General government total expenditure,Percent of GDP,,13.795
Slovak Republic,General government total expenditure,Percent of GDP,,40.196
Slovenia,General government total expenditure,Percent of GDP,,39.784
Solomon Islands,General government total expenditure,Percent of GDP,,47.54
Somalia,General government total expenditure,Percent of GDP,,
South Africa,General government total expenditure,Percent of GDP,,32.633
South Sudan,General government total expenditure,Percent of GDP,,33.566
Spain,General government total expenditure,Percent of GDP,,40.994
Sri Lanka,General government total expenditure,Percent of GDP,,19.176
St. Kitts and Nevis,General government total expenditure,Percent of GDP,,30.321
St. Lucia,General government total expenditure,Percent of GDP,,25.162
St. Vincent and the Grenadines,General government total expenditure,Percent of GDP,,30.238
Sudan,General government total expenditure,Percent of GDP,,13.706
Suriname,General government total expenditure,Percent of GDP,,32.276
Sweden,General government total expenditure,Percent of GDP,,47.951
Switzerland,General government total expenditure,Percent of GDP,,32.93
Syria,General government total expenditure,Percent of GDP,,n/a
Taiwan Province of China,General government total expenditure,Percent of GDP,,17.756
Tajikistan,General government total expenditure,Percent of GDP,,35.632
Tanzania,General government total expenditure,Percent of GDP,,16.573
Thailand,General government total expenditure,Percent of GDP,,21.995
Timor-Leste,General government total expenditure,Percent of GDP,,55.142
Togo,General government total expenditure,Percent of GDP,,21.642
Tonga,General government total expenditure,Percent of GDP,,40.02
Trinidad and Tobago,General government total expenditure,Percent of GDP,,33.142
Tunisia,General government total expenditure,Percent of GDP,,30.421
Turkey,General government total expenditure,Percent of GDP,,33.617
Turkmenistan,General government total expenditure,Percent of GDP,,17.768
Tuvalu,General government total expenditure,Percent of GDP,,127.885
Uganda,General government total expenditure,Percent of GDP,,18.911
Ukraine,General government total expenditure,Percent of GDP,,41.482
United Arab Emirates,General government total expenditure,Percent of GDP,,30.572
United Kingdom,General government total expenditure,Percent of GDP,,38.407
United States,General government total expenditure,Percent of GDP,,35.248
Uruguay,General government total expenditure,Percent of GDP,,32.398
Uzbekistan,General government total expenditure,Percent of GDP,,22.932
Vanuatu,General government total expenditure,Percent of GDP,,35.72
Venezuela,General government total expenditure,Percent of GDP,,36.569
Vietnam,General government total expenditure,Percent of GDP,,29.224
Yemen,General government total expenditure,Percent of GDP,,9.136
Zambia,General government total expenditure,Percent of GDP,,25.188
Zimbabwe,General government total expenditure,Percent of GDP,,22.484
